aid,title,marks,lms_discuss,lms_submit,duedate
I_EMPATHY,"Empathize With Teachers",10,,,03-Oct-2022
P_UNDERSTAND,"Understand Your Project",10,,,12-Oct-2022
P_EXPLORE,"Explore Project",10,,,02-Nov-2022
P_MATERIALIZE1,"Materialize Project (1)",10,,,30-Nov-2022
P_MATERIALIZE2,"Materialize Project (2)",10,,,07-Dec-2022
I_U_CHOICE,"You Choose (Undergrad)",10,,,07-Dec-2022
I_G_REVIEW,"Research Paper Review (Grad)",10,,,07-Dec-2022
