aid,title,marks,lms_discuss,lms_submit,duedate
I_BE_1,"Blog Entry 1",12,,,22-Feb-2021
I_BE_2,"Blog Entry 2",12,,,18-Mar-2021
I_EM,"Empathy Map",11,,,1-Apr-2021
P_RR_PROP,"Project Proposal",5,,,11-Mar-2021
P_RR_DELIV,"Project Deliverable",20,,,15-Apr-2021
