Times,Monday,Tuesday,Wednesday,Thursday,Friday
8:30,a,c,a,c,c
9:00,a,c,a,c,c
9:30,a,c,a,c,c
10:00,a,c,a,c,c
10:30,a,c,a,c,c
11:00,a,c,a,c,c
11:30,b,c,b,c,c
12:00,b,c,b,c,c
12:30,b,c,b,c,c
13:00,b,d,b,d,d
13:30,b,d,b,d,d
14:00,b,e,b,e,e
14:30,b,f,b,f,f
15:00,b,f,b,f,f
15:30,b,f,b,f,f
16:00,b,f,b,f,f
16:30,b,f,b,f,f
