name,url
Interaction Design (5th Edition),http://www.id-book.com/
The Design of Everyday Things (Revised and Expanded Edition),https://www.nngroup.com/books/design-everyday-things-revised/
Psychology (2nd Edition),https://openstax.org/details/books/psychology-2e
Encyclopedia of Human-Computer Interaction (2nd Edition),https://www.interaction-design.org/literature/book/the-encyclopedia-of-human-computer-interaction-2nd-ed
