meeting,total_mtgs,date,file,wikipage_id
01,24,Tue-11-Jan-2022,01_Tue-11-Jan-2022.html,8516
02,24,Thu-13-Jan-2022,02_Thu-13-Jan-2022.html,8517
03,24,Tue-18-Jan-2022,03_Tue-18-Jan-2022.html,8518
04,24,Thu-20-Jan-2022,04_Thu-20-Jan-2022.html,8519
05,24,Tue-25-Jan-2022,05_Tue-25-Jan-2022.html,8520
06,24,Thu-27-Jan-2022,06_Thu-27-Jan-2022.html,8521
07,24,Tue-01-Feb-2022,07_Tue-01-Feb-2022.html,8522
08,24,Thu-03-Feb-2022,08_Thu-03-Feb-2022.html,8523
09,24,Tue-08-Feb-2022,09_Tue-08-Feb-2022.html,8524
10,24,Thu-10-Feb-2022,10_Thu-10-Feb-2022.html,8525
11,24,Tue-15-Feb-2022,11_Tue-15-Feb-2022.html,8526
12,24,Thu-17-Feb-2022,12_Thu-17-Feb-2022.html,8527
13,24,Tue-01-Mar-2022,13_Tue-01-Mar-2022.html,8528
14,24,Thu-03-Mar-2022,14_Thu-03-Mar-2022.html,8529
15,24,Tue-08-Mar-2022,15_Tue-08-Mar-2022.html,8530
16,24,Thu-10-Mar-2022,16_Thu-10-Mar-2022.html,8531
17,24,Tue-15-Mar-2022,17_Tue-15-Mar-2022.html,8532
18,24,Thu-17-Mar-2022,18_Thu-17-Mar-2022.html,8533
19,24,Tue-22-Mar-2022,19_Tue-22-Mar-2022.html,8534
20,24,Thu-24-Mar-2022,20_Thu-24-Mar-2022.html,8535
21,24,Tue-29-Mar-2022,21_Tue-29-Mar-2022.html,8536
22,24,Thu-31-Mar-2022,22_Thu-31-Mar-2022.html,8537
23,24,Tue-05-Apr-2022,23_Tue-05-Apr-2022.html,8538
24,24,Thu-07-Apr-2022,24_Thu-07-Apr-2022.html,8539
