aid,title,marks,lms_discuss,lms_submit,duedate
P_PROP,"Project Proposal",5,,,18-Feb-2022
BLOG,"Blog Entry",16,,,11-Mar-2022
COB,"Critique of a Blog Entry",4,,,25-Mar-2022
AHW,"Assess Humaneness of Website",10,,,04-Apr-2022
P_DELIV,"Project Deliverable",20,,,13-Apr-2022
