meet,file,URL
8,8 - Whiteboard[2]-01.png,https://dl.dropboxusercontent.com/s/uvbaja7kipk9vw3/8%20-%20Whiteboard%5B2%5D-01.png?dl=0
03,03 - Whiteboard[1]-01.png,https://dl.dropboxusercontent.com/s/rqu1c2fk16p5cus/03%20-%20Whiteboard%5B1%5D-01.png?dl=0
01,01 - breakout_question.png,https://dl.dropboxusercontent.com/s/od6dsoy39v8vped/01%20-%20breakout_question.png?dl=0
8,8 - goggle_answer_from_wikipedia.png,https://dl.dropboxusercontent.com/s/n652d2nuuxw4ybd/8%20-%20goggle_answer_from_wikipedia.png?dl=0
9,9 - covid_wordcloud.svg,https://dl.dropboxusercontent.com/s/mhbcle7izr17rtb/9%20-%20covid_wordcloud.svg?dl=0
03,03 - Whiteboard[4]-01.png,https://dl.dropboxusercontent.com/s/m1hxanj2x6o74l2/03%20-%20Whiteboard%5B4%5D-01.png?dl=0
02,02 - SHA_tweet.png,https://dl.dropboxusercontent.com/s/ikt63qe89m5bhyt/02%20-%20SHA_tweet.png?dl=0
8,8 - Whiteboard[1]-01.png,https://dl.dropboxusercontent.com/s/g8d2hxg0go8vwxd/8%20-%20Whiteboard%5B1%5D-01.png?dl=0
03,03 - Whiteboard[3]-01.png,https://dl.dropboxusercontent.com/s/akgfwmoxiky0ezc/03%20-%20Whiteboard%5B3%5D-01.png?dl=0
03,03 - Whiteboard[2]-01.png,https://dl.dropboxusercontent.com/s/aguvgteaxe4tccu/03%20-%20Whiteboard%5B2%5D-01.png?dl=0
7-,7- CBC_cookies.png,https://dl.dropboxusercontent.com/s/a1u2nh43ohkkh7l/7-%20CBC_cookies.png?dl=0
02,02 - breakout_question.png,https://dl.dropboxusercontent.com/s/8v0ayjps1ilkjp4/02%20-%20breakout_question.png?dl=0
