aid,title,marks,lms_discuss,lms_submit,duedate
GL01,Assignment 1,8,,,03-Oct-2022
GL02,Assignment 2,8,,,17-Oct-2022
GL03,Assignment 3,8,,,31-Oct-2022
GL04,Assignment 4,8,,,21-Nov-2022
GL05,Assignment 5,8,,,05-Dec-2022
