question,SA,A,D,SD,nresp
7,2,2,2,1,7
8,1,3,1,2,7
9,2,1,1,2,6
10,2,3,0,0,5
11,2,3,0,1,6
12,6,0,1,0,7
13,4,0,2,0,6
14,3,2,1,1,7
T,22,14,8,7,51
W,88,42,16,7,3.00
