aid,title,marks,lms_discuss,lms_submit,duedate
I_ENT,"Illustrate Entropy",4,604676,902945,10-Feb-2020
I_TIC,"Explore Text and Image in Colour",4,,,02-Mar-2020
P_MM_P,"Project Proposal",4,,,24-Feb-2020
