title,id,type,marks,duedate,lms_discuss,lms_submit
"Blog Outline",BO,Individual,2,28-Jan-2019,https://urcourses.uregina.ca/mod/forum/discuss.php?d=496963,https://urcourses.uregina.ca/mod/assign/view.php?id=901675
"Empathize",EG,Group,5,25-Feb-2019,https://urcourses.uregina.ca/mod/forum/discuss.php?d=501913,https://urcourses.uregina.ca/mod/assign/view.php?id=907372
"Blog Post",BP,Individual,8,11-Mar-2019,https://urcourses.uregina.ca/mod/forum/discuss.php?d=496963,https://urcourses.uregina.ca/mod/assign/view.php?id=909822
