aid,title,marks,lms_discuss,lms_submit,duedate
I_BO,"Blog Outline",3,602394,901675,31-Jan-2020
I_BE,"Blog Entry",9,,,09-Mar-2020
I_CBE,"Critique of a Blog Entry",6,,,27-Mar-2020
P_RR_P,"Project Proposal",3,,,28-Feb-2020
P_RR_D,"Project Deliverable",14,,,03-Apr-2020
G_AH,"Assess Humaneness",10,,,27-Mar-2020
