aid,title,marks,lms_discuss,lms_submit,duedate
I01,"Simple PBRT",6,1178431,2900956,25-Feb-2025
I02,"Revisit Desktop Tetrahedron",12,1183748,2903356,11-Apr-2025
I03,"Advanced PBRT",12,1183750,2903358,11-Apr-2025
A23,"Project Alternative to Assignments 2 and 3",24,1183751,2903361,11-Apr-2025
