aid,title,marks,lms_discuss,lms_submit,duedate
I_ENT,"Illustrate Entropy",4,,,12-Feb-2021
I_TIC,"Explore Text and Image in Colour",4,,,9-Mar-2021
I_CIS,"Connect Image and Sound",4,,,16-Mar-2021
I_SSE,"Sound to Something Else",4,,,30-Mar-2021
I_SP,"Self Portrait",4,,,13-Apr-2021
P_MM_P,"Project Proposal",4,,,25-Feb-2021
P_MM_D,"Project Deliverable",16,,,15-Apr-2021
