aid,title,marks,lms_discuss,lms_submit,duedate
P_UNDERSTAND,"Understand Your Project",10,,,08-Oct-2021
P_EXPLORE,"Explore Project",10,,,01-Nov-2021
P_MATERIALIZE1,"Materialize Project (1)",10,,,22-Nov-2021
P_MATERIALIZE2,"Materialize Project (2)",10,,,03-Dec-2021

I_EMPATHY,"Empathize With Teachers",10,1241913,721281,24-Sep-2021
#I_IDEATE,"Ideate",8,,,25-Nov-2020
I_U_CHOICE,"You Choose (Undergrad)",10,,,06-Dec-2021
I_G_REVIEW,"Research Paper Review (Grad)",10,,,06-Dec-2021

#P_PROP,"Project Proposal",3,560298,613230,15-Oct-2020
#I_CU,"Critique a Project",6,569606,738912,31-Oct-2020
#P_DES,"Design",6,574037,626706,14-Nov-2020
#I_RATS,"Report as Test Subject",6,584922,854940,28-Nov-2020

#P_LOFI,"Evaluate Low-Fidelity Prototypes",6,0,282095,26-Nov-2020
#P_VID,"Video Presentation",3,0,746344,3-Dec-2020
#P_HIFI,"High Fidelity",6,586610,856422,10-Dec-2020
