Times,Monday,Tuesday,Wednesday,Thursday,Friday
8:30,m,t,w,r,f
9:00,m,t,w,r,f
9:30,m,t,w,r,f
10:00,m,t,w,r,f
10:30,m,t,w,r,f
11:00,m,t,w,r,f
11:30,m,t,w,r,f
12:00,m,t,w,r,f
12:30,m,t,w,r,f
13:00,m,t,w,r,f
13:30,m,t,w,r,f
14:00,m,t,w,r,f
14:30,m,t,w,r,f
15:00,m,t,w,r,f
15:30,m,t,w,r,f
16:00,m,t,w,r,f
16:30,m,t,w,r,f
