Times,Monday,Tuesday,Wednesday,Thursday,Friday
08:30,B,B,B,M,B
09:00,B,B,B,M,B
09:30,B,B,B,M,B
10:00,B,O,B,M,B
10:30,B,O,B,M,B
11:00,B,O,B,M,B
11:30,B,O,B,M,B
12:00,B,B,B,M,B
12:30,B,B,B,M,B
13:00,B,B,B,M,B
13:30,C,B,C,M,C
14:00,C,B,C,M,C
14:30,O,B,B,M,B
15:00,O,B,B,M,B
15:30,O,B,B,M,B
16:00,B,B,B,M,B
16:30,B,B,B,M,B
