response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,4,3,4,3,3,4,4,3,2,3.33,0.71,4,3
2,2,1,2,3,3,2,5,1,2,2.33,1.22,2,2
3,2,2,3,1,4,2,5,3,3,2.78,1.20,2,3
4,2,4,3,2,4,2,4,2,3,2.89,0.93,2,3
5,2,1,1,1,5,2,5,5,5,3.00,1.94,5,2
6,3,2,3,2,3,3,3,3,3,2.78,0.44,3,3
7,3,3,3,4,5,3,5,4,4,3.78,0.83,3,4
8,4,4,4,3,5,4,5,5,5,4.33,0.71,4,4
9,5,4,5,3,5,5,5,4,5,4.56,0.73,5,5
10,5,4,4,3,5,3,5,3,5,4.11,0.93,5,4
11,3,4,3,3,4,4,4,3,4,3.56,0.53,4,4
12,4,4,4,4,5,3,5,5,5,4.33,0.71,4,4
13,5,3,2,2,5,4,5,5,5,4.00,1.32,5,5
14,3,2,3,3,5,4,4,3,5,3.56,1.01,3,3
15,3,4,2,1,5,3,5,3,5,3.44,1.42,3,3
16,4,3,3,3,4,3,5,4,5,3.78,0.83,3,4
17,4,3,4,3,4,3,4,3,4,3.56,0.53,4,4
18,5,3,3,4,5,4,5,5,5,4.33,0.87,5,5
19,2,1,1,1,4,2,5,2,4,2.44,1.51,2,2
Avg,3.42,2.89,3.00,2.58,4.37,3.16,4.63,3.47,4.16,3.52,0.71,,
SD,1.12,1.10,1.05,1.02,0.76,0.90,0.60,1.17,1.07,,,,
Mode,4,4,3,3,5,3,5,3,5,,,,
Median,3,3,3,3,5,3,5,3,5,,,,
5,4,0,1,0,10,1,13,5,10,44,,,
4,5,7,5,3,6,6,5,3,4,44,,,
3,5,6,8,9,3,7,1,8,3,50,,,
2,5,3,3,3,0,5,0,2,2,23,,,
1,0,3,2,4,0,0,0,1,0,10,,,
Total,19,19,19,19,19,19,19,19,19,171,,,
