response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,5,4,5,5,5,5,4,5,4.78,0.44,5,5
2,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
3,2,1,2,4,2,2,4,1,3,2.33,1.12,2,2
4,3,4,2,4,5,4,5,4,4,3.89,0.93,4,4
5,3,3,3,2,3,2,4,3,3,2.89,0.60,3,3
6,4,4,4,4,5,4,5,5,5,4.44,0.53,4,4
7,2,3,1,1,4,3,5,3,4,2.89,1.36,3,3
8,4,2,4,2,5,5,5,4,5,4.00,1.22,5,4
9,3,3,5,3,5,4,5,4,5,4.11,0.93,5,4
10,4,3,3,2,3,4,5,3,3,3.33,0.87,3,3
11,4,3,4,2,5,3,5,5,5,4.00,1.12,5,4
12,3,4,2,4,5,4,5,5,5,4.11,1.05,5,4
13,5,5,3,5,5,5,5,5,5,4.78,0.67,5,5
14,4,3,4,3,5,4,5,5,5,4.22,0.83,5,4
15,4,4,5,5,3,4,5,5,5,4.44,0.73,5,5
16,5,4,5,4,3,3,4,4,4,4.00,0.71,4,4
17,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
18,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
19,3,3,0,4,2,2,3,4,2,2.56,1.24,3,3
20,4,4,4,5,5,4,5,5,5,4.56,0.53,5,5
21,5,5,4,4,5,4,5,5,4,4.56,0.53,5,5
22,2,2,2,3,3,2,5,3,4,2.89,1.05,2,3
23,5,4,4,3,4,3,3,4,5,3.89,0.78,4,4
24,4,4,4,4,5,5,5,4,4,4.33,0.50,4,4
25,4,5,5,5,5,4,5,4,4,4.56,0.53,5,5
26,4,4,5,4,5,5,5,4,5,4.56,0.53,5,5
27,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
28,5,4,4,5,5,5,5,4,5,4.67,0.50,5,5
29,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
30,4,3,4,4,5,4,5,4,5,4.22,0.67,4,4
Avg,4.00,3.77,3.73,3.83,4.40,3.93,4.77,4.20,4.47,4.12,0.36,,
SD,0.98,1.04,1.34,1.15,1.00,1.01,0.57,0.92,0.82,,,,
Mode,5,4,4,4,5,4,5,5,5,,,,
Median,4,4,4,4,5,4,5,4,5,,,,
5,11,8,10,10,21,10,25,13,19,127,,,
4,11,11,11,11,2,12,3,12,7,80,,,
3,5,8,3,4,5,4,2,4,3,38,,,
2,3,2,4,4,2,4,0,0,1,20,,,
1,0,1,1,1,0,0,0,1,0,4,,,
Total,30,30,29,30,30,30,30,30,30,269,,,
