response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,4,3,2,2,5,3,5,3,4,3.44,1.13,3,3
2,1,1,1,1,5,2,4,1,1,1.89,1.54,1,1
3,4,1,4,1,5,3,5,5,5,3.67,1.66,5,4
4,4,4,4,5,5,5,5,5,5,4.67,0.50,5,5
5,2,1,3,2,5,2,5,2,5,3.00,1.58,2,2
6,3,4,3,3,5,4,5,3,4,3.78,0.83,3,4
7,4,3,4,3,5,4,5,4,4,4.00,0.71,4,4
8,3,4,4,5,5,4,5,4,4,4.22,0.67,4,4
9,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
10,4,3,4,2,3,4,5,5,5,3.89,1.05,4,4
11,4,2,2,4,5,4,4,4,4,3.67,1.00,4,4
12,4,2,3,2,4,4,4,4,4,3.44,0.88,4,4
13,2,1,1,3,5,3,4,2,5,2.89,1.54,2,3
14,4,3,3,3,4,3,5,3,5,3.67,0.87,3,3
15,2,2,1,1,5,2,5,3,5,2.89,1.69,2,2
16,1,1,1,1,4,2,5,1,3,2.11,1.54,1,1
17,4,3,4,3,5,4,5,4,4,4.00,0.71,4,4
18,3,3,3,3,5,4,5,5,5,4.00,1.00,3,4
19,3,3,2,3,5,3,5,4,4,3.56,1.01,3,3
20,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
21,4,4,4,4,4,4,5,4,4,4.11,0.33,4,4
22,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
23,4,4,4,4,5,5,5,5,5,4.56,0.53,5,5
24,4,4,4,4,5,4,5,4,5,4.33,0.50,4,4
25,3,2,2,3,5,4,5,3,4,3.44,1.13,3,3
26,4,2,3,3,5,5,4,4,5,3.89,1.05,4,4
27,3,4,4,4,5,5,5,5,5,4.44,0.73,5,5
28,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
29,4,5,5,5,5,5,5,5,5,4.89,0.33,5,5
30,4,3,5,4,5,5,5,5,5,4.56,0.73,5,5
31,4,2,3,2,5,3,5,4,5,3.67,1.22,5,4
32,4,3,3,4,5,4,5,3,4,3.89,0.78,4,4
33,3,4,3,4,4,5,4,3,4,3.78,0.67,4,4
34,5,5,5,5,5,5,5,4,5,4.89,0.33,5,5
Avg,3.59,3.12,3.32,3.32,4.79,3.94,4.82,3.85,4.47,3.92,0.65,,
SD,1.05,1.32,1.25,1.32,0.48,1.01,0.39,1.16,0.83,,,,
Mode,4,3,4,3,5,5,5,5,5,,,,
Median,4,3,3.5,3,5,4,5,4,5,,,,
5,5,6,6,8,28,12,28,12,20,125,,,
4,17,8,11,8,5,12,6,11,12,90,,,
3,7,9,9,9,1,6,0,7,1,49,,,
2,3,6,4,5,0,4,0,2,0,24,,,
1,2,5,4,4,0,0,0,2,1,18,,,
Total,34,34,34,34,34,34,34,34,34,306,,,
