response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,5,5,4,5,4,5,5,5,4.78,0.44,5,5
2,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
3,2,2,2,2,3,3,5,3,4,2.89,1.05,2,3
4,5,5,5,3,5,4,5,4,4,4.44,0.73,5,5
5,5,5,2,5,5,5,5,5,5,4.67,1.00,5,5
6,2,3,2,4,4,2,4,3,3,3.00,0.87,2,3
7,3,3,3,3,4,4,5,4,5,3.78,0.83,3,4
8,3,2,3,3,1,1,1,3,2,2.11,0.93,3,2
9,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
10,3,4,3,4,3,3,5,4,4,3.67,0.71,3,4
11,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
12,5,4,5,5,5,5,4,5,5,4.78,0.44,5,5
13,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
Avg,4.08,4.00,3.85,4.08,4.23,3.85,4.54,4.31,4.38,4.15,0.24,,
SD,1.26,1.15,1.34,1.04,1.24,1.28,1.13,0.85,0.96,,,,
Mode,5,5,5,5,5,5,5,5,5,,,,
Median,5,4,5,4,5,4,5,5,5,,,,
5,8,6,7,6,8,5,10,7,8,65,,,
4,0,3,0,3,2,4,2,3,3,20,,,
3,3,2,3,3,2,2,0,3,1,19,,,
2,2,2,3,1,0,1,0,0,1,10,,,
1,0,0,0,0,1,1,1,0,0,3,,,
Total,13,13,13,13,13,13,13,13,13,117,,,
