response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,4,3,3,2,4,2,5,3,4,3.33,1.00,4,3
2,3,2,4,2,5,3,4,4,5,3.56,1.13,4,4
3,2,1,3,1,5,2,5,5,3,3.00,1.66,5,3
4,1,2,1,1,4,1,5,4,4,2.56,1.67,1,2
5,1,2,1,1,4,3,5,4,4,2.78,1.56,1,3
6,4,3,2,5,5,2,3,2,4,3.33,1.22,2,3
7,4,4,3,4,5,3,4,4,5,4.00,0.71,4,4
8,5,3,4,3,5,2,5,4,5,4.00,1.12,5,4
9,5,4,5,5,5,4,5,3,5,4.56,0.73,5,5
10,3,1,2,1,4,3,5,2,3,2.67,1.32,3,3
11,3,2,3,1,4,2,5,3,4,3.00,1.22,3,3
12,3,2,2,3,3,3,4,2,3,2.78,0.67,3,3
13,4,4,4,3,5,4,5,5,4,4.22,0.67,4,4
14,3,2,2,3,4,3,5,5,3,3.33,1.12,3,3
15,3,3,0,5,5,5,5,3,3,3.56,1.67,3,3
16,4,4,3,5,5,5,5,5,5,4.56,0.73,5,5
17,4,5,4,4,5,4,5,4,5,4.44,0.53,4,4
18,4,3,3,3,4,3,5,4,4,3.67,0.71,4,4
19,5,4,3,3,5,2,5,3,4,3.78,1.09,5,4
20,4,5,3,4,4,3,5,3,4,3.89,0.78,4,4
21,1,1,1,2,5,1,5,2,3,2.33,1.66,1,2
22,2,2,2,1,5,2,5,3,4,2.89,1.45,2,2
23,5,4,4,4,5,4,5,4,5,4.44,0.53,4,4
24,2,4,2,4,1,4,1,3,2,2.56,1.24,2,2
25,4,2,3,3,5,3,5,4,5,3.78,1.09,3,4
26,5,3,4,2,5,5,5,5,5,4.33,1.12,5,5
27,3,2,2,2,5,3,5,2,3,3.00,1.22,2,3
28,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
29,3,3,3,3,4,3,4,3,3,3.22,0.44,3,3
30,3,2,1,1,3,3,5,3,3,2.67,1.22,3,3
31,2,1,2,2,5,2,5,2,3,2.67,1.41,2,2
32,2,1,1,1,2,1,5,1,1,1.67,1.32,1,1
33,4,3,4,3,5,3,5,4,4,3.89,0.78,4,4
34,2,1,2,3,5,3,5,4,5,3.33,1.50,5,3
35,4,2,2,2,5,4,5,4,4,3.56,1.24,4,4
36,3,3,3,2,3,3,4,3,4,3.11,0.60,3,3
37,3,3,3,3,3,3,3,3,3,3.00,0.00,3,3
38,4,3,3,3,5,3,5,3,4,3.67,0.87,3,3
Avg,3.32,2.74,2.68,2.76,4.37,3.00,4.66,3.42,3.87,3.42,0.73,,
SD,1.16,1.18,1.16,1.30,0.97,1.07,0.81,1.03,0.96,,,,
Mode,4,3,3,3,5,3,5,3,4,,,,
Median,3,3,3,3,5,3,5,3,4,,,,
5,6,3,2,5,23,4,30,6,11,90,,,
4,12,7,7,5,9,6,5,12,14,77,,,
3,11,11,13,12,4,17,2,13,11,94,,,
2,6,11,10,8,1,8,0,6,1,51,,,
1,3,6,5,8,1,3,1,1,1,29,,,
Total,38,38,37,38,38,38,38,38,38,341,,,
