response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,3,4,2,4,4,5,5,4,3,3.78,0.97,4,4
2,5,5,4,5,5,4,5,5,5,4.78,0.44,5,5
3,5,4,4,4,5,4,5,5,5,4.56,0.53,5,5
4,4,4,5,5,5,5,5,4,5,4.67,0.50,5,5
5,4,4,4,5,5,4,5,4,4,4.33,0.50,4,4
6,4,3,3,4,4,4,5,4,4,3.89,0.60,4,4
7,4,4,3,4,4,4,5,5,5,4.22,0.67,4,4
8,4,5,3,5,4,4,5,4,4,4.22,0.67,4,4
9,4,5,4,5,5,5,5,4,5,4.67,0.50,5,5
10,4,4,2,4,4,4,5,3,4,3.78,0.83,4,4
11,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
12,3,5,3,3,5,3,5,4,4,3.89,0.93,3,4
13,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
14,3,3,2,3,3,1,4,3,4,2.89,0.93,3,3
15,2,1,2,3,3,1,3,2,2,2.11,0.78,2,2
16,4,2,4,4,5,5,5,5,5,4.33,1.00,5,5
17,3,2,1,2,4,2,5,3,4,2.89,1.27,2,3
18,5,3,5,5,5,5,5,5,5,4.78,0.67,5,5
19,5,3,3,4,4,4,5,3,3,3.78,0.83,3,4
20,3,4,3,3,5,4,5,3,4,3.78,0.83,3,4
21,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
22,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
23,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
Avg,4.09,3.91,3.57,4.22,4.52,4.00,4.87,4.13,4.35,4.18,0.37,,
SD,0.90,1.16,1.24,0.90,0.67,1.21,0.46,0.92,0.83,,,,
Mode,5,5,5,5,5,4,5,5,5,,,,
Median,4,4,4,4,5,4,5,4,5,,,,
5,9,9,7,11,14,9,21,10,12,102,,,
4,8,7,5,7,7,10,1,7,8,60,,,
3,5,4,6,4,2,1,1,5,2,30,,,
2,1,2,4,1,0,1,0,1,1,11,,,
1,0,1,1,0,0,2,0,0,0,4,,,
Total,23,23,23,23,23,23,23,23,23,207,,,
