response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,4,5,4,5,5,3,5,3,4,4.22,0.83,5,4
2,3,1,3,4,5,3,5,3,3,3.33,1.22,3,3
3,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
4,4,3,4,2,4,4,5,5,4,3.89,0.93,4,4
5,4,4,4,3,5,3,5,4,4,4.00,0.71,4,4
6,3,4,4,4,5,4,5,5,4,4.22,0.67,4,4
7,5,4,3,3,5,4,5,4,5,4.22,0.83,5,4
8,4,5,4,5,5,5,5,5,5,4.78,0.44,5,5
9,4,4,4,5,5,5,5,4,5,4.56,0.53,5,5
10,4,2,2,3,4,4,5,3,3,3.33,1.00,4,3
11,4,4,3,4,5,5,5,5,5,4.44,0.73,5,5
12,4,1,1,2,4,2,5,3,5,3.00,1.58,4,3
13,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
14,5,4,5,5,5,5,5,5,0,4.33,1.66,5,5
15,5,5,5,5,4,5,4,4,4,4.56,0.53,5,5
16,4,0,4,4,5,4,5,4,4,3.78,1.48,4,4
17,5,5,5,4,4,3,5,4,5,4.44,0.73,5,5
18,4,5,5,5,5,2,5,5,5,4.56,1.01,5,5
19,4,5,3,5,5,5,5,4,4,4.44,0.73,5,5
20,4,4,4,5,5,4,5,3,5,4.33,0.71,4,4
21,3,3,4,3,5,4,5,5,4,4.00,0.87,3,4
22,5,5,4,4,5,5,5,4,4,4.56,0.53,5,5
23,5,4,4,5,4,5,4,5,5,4.56,0.53,5,5
24,4,5,4,4,5,5,5,5,5,4.67,0.50,5,5
25,1,1,1,1,1,1,1,1,1,1.00,0.00,1,1
26,3,3,3,3,3,3,3,3,3,3.00,0.00,3,3
27,5,3,5,3,5,3,5,5,5,4.33,1.00,5,5
28,1,1,4,3,4,4,5,4,4,3.33,1.41,4,4
29,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
30,4,3,4,3,5,5,5,5,4,4.22,0.83,5,4
31,5,3,4,3,5,5,5,5,5,4.44,0.88,5,5
32,4,4,3,5,5,4,5,5,5,4.44,0.73,5,5
33,3,3,3,2,5,4,5,3,4,3.56,1.01,3,3
34,4,3,3,3,4,3,5,4,4,3.67,0.71,4,4
35,3,3,3,4,4,3,4,4,4,3.56,0.53,4,4
36,4,5,5,4,5,5,5,5,5,4.78,0.44,5,5
37,4,3,4,2,3,3,5,4,3,3.44,0.88,3,3
38,2,3,2,3,4,3,0,3,2,2.44,1.13,3,3
39,5,2,2,5,5,3,5,2,5,3.78,1.48,5,5
40,3,4,3,5,5,4,5,5,5,4.33,0.87,5,5
41,4,4,4,3,5,4,5,5,5,4.33,0.71,4,4
42,5,4,4,5,5,4,5,5,5,4.67,0.50,5,5
43,4,4,3,3,5,3,5,5,5,4.11,0.93,5,4
44,3,4,3,5,5,4,5,4,5,4.22,0.83,5,4
45,5,4,4,4,5,3,5,5,4,4.33,0.71,5,4
46,5,5,5,3,5,4,5,5,5,4.67,0.71,5,5
47,2,2,2,3,3,2,4,2,3,2.56,0.73,2,2
48,4,4,4,4,4,4,4,4,4,4.00,0.00,4,4
Avg,3.94,3.58,3.67,3.81,4.56,3.83,4.67,4.17,4.21,4.05,0.38,,
SD,1.02,1.30,1.04,1.08,0.80,1.00,0.97,1.00,1.09,,,,
Mode,4,4,4,5,5,4,5,5,5,,,,
Median,4,4,4,4,5,4,5,4,4.5,,,,
5,15,13,10,17,33,14,40,23,24,189,,,
4,21,16,20,11,11,17,5,14,16,131,,,
3,8,11,12,15,3,13,1,8,5,76,,,
2,2,3,4,4,0,3,0,2,1,19,,,
1,2,4,2,1,1,1,1,1,1,14,,,
Total,48,47,48,48,48,48,47,48,47,429,,,
