response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,3,1,1,2,2,3,5,3,5,2.78,1.48,3,3
2,5,4,5,5,4,5,5,4,5,4.67,0.50,5,5
3,4,4,3,5,5,4,5,3,5,4.22,0.83,5,4
4,2,2,2,2,3,3,4,3,3,2.67,0.71,2,3
5,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
6,3,2,4,4,3,4,5,4,3,3.56,0.88,4,4
7,4,5,4,4,4,4,4,5,4,4.22,0.44,4,4
8,4,4,3,5,5,4,5,3,5,4.22,0.83,5,4
9,3,3,2,3,3,3,5,3,4,3.22,0.83,3,3
10,4,3,3,4,4,3,5,4,4,3.78,0.67,4,4
11,4,3,4,2,4,1,5,3,4,3.33,1.22,4,4
12,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
13,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
14,3,3,2,2,4,1,4,3,5,3.00,1.22,3,3
15,4,4,4,4,4,4,4,4,4,4.00,0.00,4,4
16,3,2,4,4,2,2,5,4,4,3.33,1.12,4,4
17,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
18,3,1,1,1,5,1,5,2,5,2.67,1.87,1,2
19,4,4,4,4,4,4,5,4,4,4.11,0.33,4,4
20,2,3,2,3,3,2,3,2,3,2.56,0.53,3,3
21,1,1,1,1,5,1,5,1,3,2.11,1.76,1,1
22,4,4,1,4,1,3,5,1,1,2.67,1.66,1,3
23,4,4,2,4,3,3,4,4,4,3.56,0.73,4,4
24,3,2,3,3,5,2,5,2,5,3.33,1.32,3,3
25,4,4,4,4,4,4,4,4,2,3.78,0.67,4,4
26,4,3,3,3,3,2,4,2,2,2.89,0.78,3,3
27,3,4,2,4,5,2,4,3,5,3.56,1.13,4,4
28,3,3,3,3,3,3,3,3,3,3.00,0.00,3,3
29,4,3,3,4,3,3,5,4,4,3.67,0.71,4,4
30,4,4,3,4,3,4,5,3,5,3.89,0.78,4,4
31,4,3,3,3,5,4,5,5,5,4.11,0.93,5,4
32,5,4,4,5,5,3,5,4,5,4.44,0.73,5,5
33,4,3,1,5,4,3,5,2,5,3.56,1.42,5,4
34,5,3,4,4,4,5,5,5,5,4.44,0.73,5,5
35,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
36,4,4,3,5,5,3,5,4,5,4.22,0.83,5,4
37,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
38,3,2,4,3,2,3,4,2,4,3.00,0.87,3,3
39,2,2,2,3,5,2,4,2,4,2.89,1.17,2,2
40,5,4,4,3,4,4,5,3,4,4.00,0.71,4,4
41,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0
42,3,2,1,3,4,2,4,2,3,2.67,1.00,3,3
43,4,5,4,4,4,4,4,5,5,4.33,0.50,4,4
44,4,4,4,3,5,3,5,4,5,4.11,0.78,4,4
45,3,4,3,5,5,3,5,4,4,4.00,0.87,3,4
46,3,4,3,3,4,3,5,3,4,3.56,0.73,3,3
47,5,3,4,4,3,4,5,4,4,4.00,0.71,4,4
48,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
49,1,1,1,3,4,2,4,2,2,2.22,1.20,1,2
50,4,4,3,4,4,5,5,4,4,4.11,0.60,4,4
51,2,1,2,2,3,2,4,2,1,2.11,0.93,2,2
52,2,1,1,3,1,1,3,1,1,1.56,0.88,1,1
53,5,3,5,5,4,4,5,3,5,4.33,0.87,5,5
54,4,4,4,4,5,4,5,3,2,3.89,0.93,4,4
55,4,3,3,3,3,3,5,3,3,3.33,0.71,3,3
56,4,4,4,4,5,5,5,4,4,4.33,0.50,4,4
57,4,3,3,4,4,4,4,3,4,3.67,0.50,4,4
58,3,4,3,4,4,2,5,3,3,3.44,0.88,3,3
59,4,4,4,5,5,4,5,4,5,4.44,0.53,4,4
60,5,3,3,1,4,3,5,4,4,3.56,1.24,3,4
61,3,3,3,2,4,4,4,4,4,3.44,0.73,4,4
62,4,4,4,4,3,4,5,4,3,3.89,0.60,4,4
63,4,4,4,5,5,5,5,5,5,4.67,0.50,5,5
64,1,1,1,1,1,1,1,1,1,1.00,0.00,1,1
65,5,5,3,5,5,5,5,5,5,4.78,0.67,5,5
66,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
67,2,2,3,2,3,1,4,2,2,2.33,0.87,2,2
68,3,3,2,4,3,3,4,2,4,3.11,0.78,3,3
69,4,2,2,4,0,2,4,2,3,2.56,1.33,2,2
70,4,4,4,4,5,3,5,4,3,4.00,0.71,4,4
71,3,4,2,4,4,3,5,3,3,3.44,0.88,3,3
72,4,3,3,2,5,4,5,5,5,4.00,1.12,5,4
Avg,3.64,3.28,3.10,3.61,3.85,3.26,4.53,3.38,3.88,3.61,0.44,,
SD,1.13,1.22,1.26,1.23,1.25,1.29,0.89,1.24,1.26,,,,
Mode,4,4,3,4,5,3,5,4,5,,,,
Median,4,3.5,3,4,4,3,5,3.5,4,,,,
5,16,10,9,19,27,14,48,15,29,187,,,
4,29,26,21,25,22,19,19,21,21,203,,,
3,17,19,21,15,15,20,3,18,12,140,,,
2,6,9,11,8,3,11,0,13,5,66,,,
1,3,7,9,4,3,7,1,4,4,42,,,
Total,71,71,71,71,70,71,71,71,71,638,,,
