response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
2,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
3,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
4,4,5,1,5,5,3,5,1,5,3.78,1.72,5,5
5,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
6,5,5,4,3,5,3,5,5,5,4.44,0.88,5,5
7,5,5,5,4,5,4,5,5,5,4.78,0.44,5,5
8,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
9,4,3,5,4,5,5,5,4,4,4.33,0.71,4,4
10,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
11,5,4,4,3,3,4,5,4,3,3.89,0.78,4,4
12,3,3,3,2,3,3,5,3,3,3.11,0.78,3,3
13,2,3,2,3,5,3,5,3,3,3.22,1.09,3,3
14,2,1,2,3,2,1,4,1,1,1.89,1.05,1,2
15,3,4,3,3,5,4,5,3,3,3.67,0.87,3,3
16,3,4,3,2,5,4,5,3,3,3.56,1.01,3,3
17,5,2,1,2,3,4,5,3,5,3.33,1.50,5,3
18,4,3,3,3,3,3,5,3,4,3.44,0.73,3,3
19,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
20,5,5,5,5,5,5,5,4,5,4.89,0.33,5,5
21,4,2,5,2,5,3,4,4,5,3.78,1.20,4,4
22,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
23,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
24,5,5,5,4,5,5,5,5,5,4.89,0.33,5,5
25,4,4,5,5,5,5,5,4,3,4.44,0.73,5,5
26,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
27,4,4,4,4,4,4,4,4,4,4.00,0.00,4,4
28,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
29,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
Avg,4.38,4.21,4.14,4.03,4.59,4.24,4.90,4.10,4.34,4.33,0.27,,
SD,0.94,1.15,1.30,1.15,0.87,1.02,0.31,1.18,1.04,,,,
Mode,5,5,5,5,5,5,5,5,5,,,,
Median,5,5,5,5,5,5,5,5,5,,,,
5,18,17,18,15,23,16,26,15,19,167,,,
4,6,5,3,4,1,6,3,6,3,37,,,
3,3,4,4,6,4,6,0,6,6,39,,,
2,2,2,2,4,1,0,0,0,0,11,,,
1,0,1,2,0,0,1,0,2,1,7,,,
Total,29,29,29,29,29,29,29,29,29,261,,,
