response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,2,2,5,2,2,5,2,3,3.11,1.45,2,2
2,4,4,4,4,5,5,5,4,5,4.44,0.53,4,4
3,5,5,4,4,5,5,5,5,5,4.78,0.44,5,5
4,4,4,4,4,5,4,5,5,5,4.44,0.53,4,4
5,2,2,2,3,2,2,4,1,2,2.22,0.83,2,2
6,4,4,3,3,5,4,5,4,4,4.00,0.71,4,4
7,3,4,3,3,5,3,5,5,5,4.00,1.00,3,4
Avg,3.86,3.57,3.14,3.71,4.14,3.57,4.86,3.71,4.14,3.86,0.48,,
SD,1.07,1.13,0.90,0.76,1.46,1.27,0.38,1.60,1.21,,,,
Mode,4,4,4,4,5,2,5,5,5,,,,
Median,4,4,3,4,5,4,5,4,5,,,,
5,2,1,0,1,5,2,6,3,4,24,,,
4,3,4,3,3,0,2,1,2,1,19,,,
3,1,0,2,3,0,1,0,0,1,8,,,
2,1,2,2,0,2,2,0,1,1,11,,,
1,0,0,0,0,0,0,0,1,0,1,,,
Total,7,7,7,7,7,7,7,7,7,63,,,
