response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,3,2,2,4,4,2,5,5,5,3.56,1.33,2,4
2,3,3,3,3,5,4,5,4,4,3.78,0.83,3,4
3,3,3,3,3,4,3,4,5,5,3.67,0.87,3,3
4,2,2,2,3,4,3,4,3,4,3.00,0.87,2,3
5,4,4,5,4,5,3,5,4,4,4.22,0.67,4,4
6,4,5,4,5,5,5,5,5,5,4.78,0.44,5,5
7,5,4,5,5,5,5,5,4,4,4.67,0.50,5,5
8,2,2,3,3,4,3,5,3,4,3.22,0.97,3,3
9,4,4,5,4,5,4,5,4,5,4.44,0.53,4,4
10,4,4,5,4,5,4,5,4,5,4.44,0.53,4,4
11,3,3,2,3,4,4,5,4,4,3.56,0.88,4,4
12,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
13,5,4,5,5,3,4,5,5,3,4.33,0.87,5,5
14,5,5,5,5,5,5,5,4,4,4.78,0.44,5,5
15,5,4,5,5,5,4,5,5,5,4.78,0.44,5,5
16,3,2,2,4,5,2,5,5,5,3.67,1.41,5,4
17,4,3,5,5,5,4,5,5,5,4.56,0.73,5,5
18,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
19,3,4,4,1,5,3,5,3,5,3.67,1.32,3,4
20,4,4,5,5,4,5,5,4,5,4.56,0.53,5,5
21,5,5,5,5,5,5,5,4,5,4.89,0.33,5,5
22,3,5,4,5,5,3,5,4,4,4.22,0.83,5,4
23,4,4,4,4,4,4,4,4,4,4.00,0.00,4,4
24,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
25,3,2,3,3,5,3,5,5,5,3.78,1.20,3,3
26,4,4,4,4,5,3,5,5,5,4.33,0.71,4,4
27,4,4,2,2,5,2,5,4,4,3.56,1.24,4,4
28,3,3,4,3,5,3,5,5,5,4.00,1.00,3,4
29,5,4,4,4,5,4,5,5,5,4.56,0.53,5,5
30,3,3,3,2,4,2,3,3,3,2.89,0.60,3,3
31,4,3,4,4,4,3,5,5,5,4.11,0.78,4,4
32,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
33,4,5,4,5,5,5,5,5,5,4.78,0.44,5,5
Avg,3.88,3.76,3.97,4.00,4.67,3.76,4.85,4.39,4.58,4.21,0.42,,
SD,0.93,1.03,1.10,1.09,0.54,1.03,0.44,0.70,0.61,,,,
Mode,4,4,5,5,5,3,5,5,5,,,,
Median,4,4,4,4,5,4,5,5,5,,,,
5,10,9,14,14,23,10,29,17,21,147,,,
4,11,12,9,9,9,9,3,12,10,84,,,
3,10,7,5,7,1,10,1,4,2,47,,,
2,2,5,5,2,0,4,0,0,0,18,,,
1,0,0,0,1,0,0,0,0,0,1,,,
Total,33,33,33,33,33,33,33,33,33,297,,,
