response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,4,5,4,4,5,5,5,5,4,4.56,0.53,5,5
2,3,1,2,2,4,1,1,3,3,2.22,1.09,3,2
3,4,4,4,3,4,4,4,4,4,3.89,0.33,4,4
4,4,4,4,4,5,4,5,4,5,4.33,0.50,4,4
5,1,1,1,1,1,1,2,1,2,1.22,0.44,1,1
Avg,3.20,3.00,3.00,2.80,3.80,3.00,3.40,3.40,3.60,3.24,0.33,,
SD,1.30,1.87,1.41,1.30,1.64,1.87,1.82,1.52,1.14,,,,
Mode,4,1,4,4,5,1,5,4,4,,,,
Median,4,4,4,3,4,4,4,4,4,,,,
5,0,1,0,0,2,1,2,1,1,8,,,
4,3,2,3,2,2,2,1,2,2,19,,,
3,1,0,0,1,0,0,0,1,1,4,,,
2,0,0,1,1,0,0,1,0,1,4,,,
1,1,2,1,1,1,2,1,1,0,10,,,
Total,5,5,5,5,5,5,5,5,5,45,,,
