aid,title,marks,lms_discuss,lms_submit,duedate
IG01,"Introduction to WebGL2",4,,,27-Sep-2024
IG02,"Testing, Triangles, and Transformations",7,1143261,2762186,28-Oct-2024
IG03,"Fly-by",7,1150720,2784661,2-Dec-2024
IG04,"Light it Up",7,1150721,2784685,6-Dec-2024
