citekey,redirect
2010-08-HepLat,/research/works/2010-08-Perception-of-Parameter-Variations-in-Linear-Fractal-Images.html
1991-12-HepPruSau,/research/works/1991-06-HepPruSau-Rendering-Methods-for-Iterated-Function-Systems.html
1995-05-HepHar,/research/pubs/GI-95.html
