week,start_date,meetings,topics,notes
01,Mon-08-Jan-2024,"01_Tue-09-Jan-2024.html,02_Thu-11-Jan-2024.html",Lots,None
02,Mon-15-Jan-2024,"03_Tue-16-Jan-2024.html,04_Thu-18-Jan-2024.html",Lots,None
03,Mon-22-Jan-2024,"05_Tue-23-Jan-2024.html,06_Thu-25-Jan-2024.html",Lots,None
04,Mon-29-Jan-2024,"07_Tue-30-Jan-2024.html,08_Thu-01-Feb-2024.html",Lots,None
05,Mon-05-Feb-2024,"09_Tue-06-Feb-2024.html,10_Thu-08-Feb-2024.html",Lots,None
06,Mon-12-Feb-2024,"11_Tue-13-Feb-2024.html,12_Thu-15-Feb-2024.html",Lots,None
07,Mon-19-Feb-2024,,Lots,None
08,Mon-26-Feb-2024,"13_Tue-27-Feb-2024.html,14_Thu-29-Feb-2024.html",Lots,None
09,Mon-04-Mar-2024,"15_Tue-05-Mar-2024.html,16_Thu-07-Mar-2024.html",Lots,None
10,Mon-11-Mar-2024,"17_Tue-12-Mar-2024.html,18_Thu-14-Mar-2024.html",Lots,None
11,Mon-18-Mar-2024,"19_Tue-19-Mar-2024.html,20_Thu-21-Mar-2024.html",Lots,None
12,Mon-25-Mar-2024,"21_Tue-26-Mar-2024.html,22_Thu-28-Mar-2024.html",Lots,None
13,Mon-01-Apr-2024,"23_Tue-02-Apr-2024.html,24_Thu-04-Apr-2024.html",Lots,None
14,Mon-08-Apr-2024,"25_Tue-09-Apr-2024.html,26_Thu-11-Apr-2024.html",Lots,None
